timestamp,avg_response_time,cpu_usage,memory_usage
0.00,73.80,62.07,59.77
15.00,75.46,65.94,58.26
30.00,90.30,65.48,63.18
45.00,77.04,62.55,58.13
60.00,76.64,64.48,63.59
75.00,72.91,61.90,60.70
90.00,71.07,64.77,59.55
105.00,78.75,61.64,59.42
120.00,79.95,62.35,60.26
135.00,75.34,63.96,64.31
150.00,80.90,65.99,58.22
165.00,81.01,59.71,58.05
180.00,75.27,66.58,62.90
195.00,81.56,58.40,60.61
210.00,81.93,63.53,57.31
225.00,74.30,62.81,62.07
240.00,65.94,62.51,61.29
255.00,85.44,65.08,62.17
270.00,74.88,57.28,60.21
285.00,86.41,67.18,62.42
300.00,82.75,64.14,59.89
315.00,79.17,68.01,59.11
330.00,90.33,62.03,63.65
345.00,71.00,64.76,59.53
360.00,70.94,63.66,63.02
375.00,74.59,58.50,60.82
390.00,79.44,64.64,62.90
405.00,79.62,68.57,61.45
420.00,77.78,58.17,60.47
435.00,77.85,65.88,61.92
450.00,72.45,63.52,62.34
465.00,89.78,65.66,62.52
480.00,80.38,64.16,63.50
495.00,71.47,61.95,59.45
510.00,82.43,66.69,59.81
525.00,64.70,61.76,62.83
540.00,83.44,64.28,60.44
555.00,71.81,64.55,59.33
570.00,93.98,64.71,59.84
585.00,76.09,62.72,60.52
600.00,87.15,63.56,59.54
615.00,92.10,63.15,62.54
630.00,76.11,64.09,61.62
645.00,67.91,69.05,63.58
660.00,77.46,59.69,61.70
675.00,80.55,64.07,61.38
690.00,83.24,67.34,62.14
705.00,73.28,67.09,64.28
720.00,100.17,59.63,61.49
735.00,66.67,64.66,59.90
750.00,92.31,60.68,57.62
765.00,76.98,57.07,62.50
780.00,66.78,63.09,56.84
795.00,77.95,67.93,61.72
810.00,74.47,62.91,61.04
825.00,83.02,58.90,62.19
840.00,62.69,61.11,60.02
855.00,84.05,63.07,58.19
870.00,73.70,63.60,60.84
885.00,76.29,61.56,62.39
900.00,76.69,62.74,65.34
915.00,70.89,57.44,62.57
930.00,75.66,62.05,59.44
945.00,78.34,67.80,62.60
960.00,85.52,58.75,58.70
975.00,61.83,60.57,62.91
990.00,83.31,62.34,60.96
1005.00,75.59,63.61,62.53
1020.00,69.66,63.90,62.86
1035.00,77.34,65.10,66.63
1050.00,79.33,64.18,59.52
1065.00,81.16,64.38,61.39
1080.00,73.47,63.62,63.92
1095.00,82.87,65.89,60.53
1110.00,84.80,63.84,59.10
1125.00,82.04,60.02,59.73
1140.00,81.21,63.89,58.62
1155.00,86.75,64.72,59.59
1170.00,70.16,62.57,60.11
1185.00,80.72,61.91,56.99
1200.00,77.51,62.08,62.27
1215.00,75.53,68.04,57.18
1230.00,88.39,62.33,62.72
1245.00,80.51,66.42,60.23
1260.00,72.97,67.26,60.77
1275.00,81.42,66.70,58.94
1290.00,83.81,61.23,60.74
1305.00,80.46,58.50,59.44
1320.00,88.65,65.66,60.87
1335.00,81.56,62.12,63.71
1350.00,78.72,63.70,63.29
1365.00,75.02,67.68,57.94
1380.00,90.43,61.88,60.51
1395.00,67.90,61.64,58.92
1410.00,76.11,62.59,62.92
1425.00,81.33,63.92,58.81
1440.00,74.36,68.40,59.53
1455.00,90.60,62.27,61.00
1470.00,86.85,66.82,60.78
1485.00,77.52,62.83,61.68
