timestamp,avg_response_time,cpu_usage,memory_usage
0.00,20.01,21.02,32.40
15.00,20.67,24.48,29.95
30.00,16.55,26.29,30.04
45.00,18.62,25.08,30.22
60.00,21.70,24.85,32.37
75.00,17.81,26.64,31.52
90.00,19.41,23.43,27.45
105.00,20.65,19.91,28.29
120.00,17.56,26.34,29.74
135.00,22.45,21.39,27.59
150.00,18.21,26.71,30.69
165.00,19.12,23.48,32.00
180.00,21.79,27.35,30.28
195.00,17.88,21.76,31.52
210.00,18.46,20.13,31.69
225.00,19.92,23.10,29.48
240.00,19.63,20.23,32.78
255.00,21.66,17.46,29.14
270.00,17.61,21.05,30.83
285.00,17.68,20.23,28.99
300.00,20.33,23.21,29.56
315.00,20.28,21.36,30.46
330.00,22.68,27.02,28.40
345.00,21.33,25.43,28.70
360.00,21.31,27.61,28.75
375.00,18.53,26.05,31.54
390.00,20.88,24.02,31.78
405.00,17.88,26.14,33.34
420.00,19.63,22.87,27.94
435.00,20.82,24.72,30.88
450.00,21.80,22.00,32.13
465.00,18.37,22.93,30.65
480.00,20.36,21.89,30.74
495.00,21.32,21.69,27.79
510.00,22.80,27.14,28.42
525.00,21.10,21.49,31.53
540.00,20.47,22.30,29.43
555.00,18.90,20.25,29.34
570.00,19.89,20.85,32.36
585.00,22.38,21.26,31.48
600.00,20.80,24.42,31.15
615.00,21.19,24.45,28.52
630.00,21.39,25.66,29.47
645.00,20.06,25.05,30.58
660.00,21.72,30.09,29.43
675.00,17.79,23.91,32.44
690.00,19.63,27.36,28.32
705.00,21.11,21.18,34.44
720.00,23.19,20.70,29.90
735.00,21.38,21.84,30.91
750.00,20.04,17.24,30.97
765.00,18.90,21.52,33.89
780.00,17.99,25.44,30.44
795.00,19.55,25.37,31.68
810.00,20.91,25.90,30.34
825.00,19.02,19.74,29.35
840.00,24.72,26.73,28.30
855.00,17.88,24.45,32.09
870.00,20.88,22.24,30.75
885.00,20.52,23.26,26.56
900.00,19.63,20.45,31.35
915.00,24.78,24.10,30.37
930.00,21.47,24.45,31.84
945.00,20.97,29.17,28.74
960.00,20.76,20.22,32.11
975.00,18.53,21.75,30.41
990.00,21.56,25.76,28.51
1005.00,20.09,20.87,28.48
1020.00,19.65,22.07,35.85
1035.00,20.69,18.87,29.87
1050.00,21.63,29.27,27.83
1065.00,16.99,28.61,31.78
1080.00,18.61,24.60,25.73
1095.00,20.01,23.98,32.85
1110.00,18.38,23.26,29.15
1125.00,20.41,20.31,30.18
1140.00,18.41,24.95,32.72
1155.00,19.62,23.11,28.10
1170.00,19.52,22.85,36.24
1185.00,18.22,27.39,32.99
1200.00,20.45,28.28,31.74
1215.00,20.62,22.84,33.45
1230.00,21.75,21.12,28.36
1245.00,19.68,20.60,30.87
1260.00,21.98,21.63,30.91
1275.00,20.09,25.55,26.51
1290.00,19.03,23.63,33.40
1305.00,19.21,17.37,32.24
1320.00,18.98,19.43,29.75
1335.00,19.70,21.19,26.59
1350.00,21.44,26.82,32.30
1365.00,18.18,22.40,30.99
1380.00,20.96,25.01,29.53
1395.00,20.13,24.37,33.91
1410.00,21.13,25.37,31.17
1425.00,22.26,24.23,29.28
1440.00,22.25,25.09,30.11
1455.00,19.23,23.89,31.93
1470.00,20.32,23.93,34.40
1485.00,21.71,23.57,32.88
