timestamp,avg_response_time,cpu_usage,memory_usage
0.00,29.36,32.19,40.62
15.00,31.44,28.46,35.70
30.00,29.21,28.65,36.26
45.00,28.40,31.05,38.80
60.00,29.68,35.56,38.02
75.00,34.64,29.03,38.71
90.00,29.20,33.67,37.34
105.00,33.42,27.47,35.21
120.00,33.53,28.15,37.93
135.00,28.50,33.54,34.53
150.00,33.41,32.88,35.61
165.00,33.49,31.78,35.92
180.00,29.42,25.11,37.70
195.00,27.99,31.29,36.47
210.00,33.74,30.09,36.34
225.00,33.87,32.01,37.63
240.00,33.20,26.39,38.51
255.00,33.57,27.95,36.51
270.00,31.90,30.60,37.67
285.00,35.66,34.25,34.38
300.00,33.59,34.99,37.77
315.00,34.79,37.04,39.05
330.00,32.64,34.14,37.29
345.00,32.06,29.95,40.13
360.00,29.90,35.60,38.00
375.00,28.42,32.10,32.80
390.00,33.60,33.66,35.82
405.00,32.32,36.86,35.99
420.00,29.29,35.44,40.93
435.00,32.01,34.03,39.68
450.00,30.10,29.54,39.46
465.00,36.31,32.69,35.24
480.00,37.09,29.41,36.33
495.00,32.88,35.66,38.71
510.00,33.06,32.39,37.09
525.00,33.43,23.41,36.41
540.00,32.62,27.55,37.77
555.00,31.48,36.27,40.15
570.00,30.81,30.55,36.85
585.00,30.84,31.59,35.48
600.00,29.11,32.87,38.26
615.00,29.94,33.69,35.74
630.00,32.65,33.46,36.93
645.00,33.16,29.45,36.61
660.00,31.47,28.76,36.65
675.00,28.04,29.53,36.43
690.00,31.34,30.28,36.88
705.00,33.23,33.62,35.70
720.00,28.92,27.87,36.03
735.00,31.10,28.69,34.41
750.00,30.83,31.54,38.19
765.00,30.57,29.76,35.15
780.00,31.92,28.45,38.15
795.00,27.43,29.92,37.60
810.00,32.47,39.08,37.70
825.00,29.43,30.71,33.45
840.00,31.79,28.50,38.83
855.00,30.59,30.65,35.73
870.00,36.45,30.04,40.67
885.00,34.08,32.45,37.74
900.00,33.01,25.22,36.44
915.00,34.16,30.85,34.19
930.00,31.87,36.11,39.49
945.00,31.84,33.85,36.27
960.00,27.64,28.23,40.13
975.00,31.30,30.27,36.40
990.00,36.87,35.88,41.44
1005.00,31.59,31.89,33.97
1020.00,35.78,27.50,37.43
1035.00,29.19,29.23,35.33
1050.00,30.44,29.38,35.90
1065.00,34.13,27.69,37.44
1080.00,35.12,29.46,35.56
1095.00,31.41,34.54,37.39
1110.00,30.64,32.45,34.80
1125.00,33.74,32.23,36.38
1140.00,29.85,28.34,38.07
1155.00,35.15,29.09,37.92
1170.00,26.66,29.25,36.94
1185.00,29.67,28.19,35.66
1200.00,32.75,30.44,32.52
1215.00,26.57,29.18,37.92
1230.00,24.97,29.50,35.95
1245.00,35.55,29.84,37.77
1260.00,32.36,24.61,38.54
1275.00,32.55,32.52,44.85
1290.00,26.66,36.17,36.43
1305.00,32.74,30.86,36.15
1320.00,30.54,31.99,33.97
1335.00,33.92,29.75,34.74
1350.00,30.85,34.77,35.93
1365.00,32.92,28.81,38.52
1380.00,33.75,36.55,36.65
1395.00,33.71,31.29,39.59
1410.00,30.16,33.24,36.61
1425.00,31.84,31.28,37.50
1440.00,31.70,31.64,40.16
1455.00,34.52,33.61,36.09
1470.00,29.72,33.87,38.75
1485.00,35.77,29.19,36.54
