timestamp,avg_response_time,cpu_usage,memory_usage
0.00,56.83,49.81,49.02
15.00,68.85,41.99,51.12
30.00,55.23,49.32,49.88
45.00,52.72,47.69,45.28
60.00,58.70,47.89,50.28
75.00,60.74,48.10,49.30
90.00,52.05,44.86,51.37
105.00,62.43,46.29,49.09
120.00,51.95,50.52,50.33
135.00,64.70,44.37,48.24
150.00,57.04,48.94,48.57
165.00,52.09,49.64,50.44
180.00,51.90,51.07,51.34
195.00,56.60,47.24,50.11
210.00,52.14,47.09,44.70
225.00,59.93,42.32,52.01
240.00,54.52,46.36,47.74
255.00,54.71,51.26,44.02
270.00,61.72,48.01,46.59
285.00,51.18,52.03,47.11
300.00,50.83,50.41,49.68
315.00,51.80,47.65,46.95
330.00,60.93,50.18,50.06
345.00,57.62,52.28,49.00
360.00,50.71,48.35,53.17
375.00,51.45,45.92,49.83
390.00,55.76,44.05,51.24
405.00,66.39,47.59,47.19
420.00,49.06,47.77,51.21
435.00,58.13,46.99,47.82
450.00,51.11,49.50,50.83
465.00,49.08,51.77,50.15
480.00,62.27,42.97,46.27
495.00,55.33,48.51,52.59
510.00,59.16,46.27,46.95
525.00,61.51,44.11,52.26
540.00,54.73,51.77,50.36
555.00,55.39,45.44,48.32
570.00,57.92,47.23,47.81
585.00,55.26,47.24,44.74
600.00,58.05,44.06,46.69
615.00,48.44,41.62,46.29
630.00,52.82,52.86,47.95
645.00,56.80,48.20,49.26
660.00,55.65,43.41,51.90
675.00,64.10,41.95,46.95
690.00,54.75,44.11,50.01
705.00,52.74,53.50,51.38
720.00,56.95,50.08,51.21
735.00,53.47,44.55,49.16
750.00,59.86,47.42,45.85
765.00,52.40,46.78,48.85
780.00,64.84,42.84,50.01
795.00,62.67,53.81,48.19
810.00,58.20,48.71,49.39
825.00,55.56,48.31,43.94
840.00,59.06,47.38,48.56
855.00,65.17,44.98,48.19
870.00,64.92,44.50,47.90
885.00,55.34,49.52,49.42
900.00,50.21,45.40,47.79
915.00,55.65,48.28,49.84
930.00,48.04,50.19,49.51
945.00,62.20,48.33,51.20
960.00,58.09,51.04,50.04
975.00,55.56,53.82,50.78
990.00,58.57,43.17,46.42
1005.00,57.31,47.44,47.77
1020.00,56.63,51.77,50.39
1035.00,50.89,46.67,47.39
1050.00,54.26,45.76,48.04
1065.00,50.38,46.62,47.88
1080.00,42.88,53.16,51.18
1095.00,54.31,47.06,46.66
1110.00,63.60,52.69,49.31
1125.00,60.59,47.53,46.33
1140.00,54.16,47.40,48.09
1155.00,55.02,46.73,48.84
1170.00,56.23,43.82,47.57
1185.00,50.25,49.93,44.79
1200.00,61.17,51.16,48.40
1215.00,44.34,45.92,48.87
1230.00,51.47,45.45,52.06
1245.00,58.98,44.23,45.80
1260.00,54.53,46.36,49.99
1275.00,53.60,48.53,52.87
1290.00,59.65,46.86,48.63
1305.00,54.40,50.54,47.75
1320.00,56.20,47.15,48.00
1335.00,49.85,47.97,48.88
1350.00,58.24,45.40,51.44
1365.00,52.07,52.14,45.50
1380.00,57.95,48.43,47.41
1395.00,57.90,50.84,44.57
1410.00,58.25,39.52,47.07
1425.00,63.30,45.25,46.65
1440.00,55.11,53.20,45.34
1455.00,51.29,51.49,52.72
1470.00,55.54,43.28,53.19
1485.00,63.14,49.04,47.38
