timestamp,avg_response_time,cpu_usage,memory_usage
0.00,7.98,9.69,23.61
15.00,7.74,13.43,25.30
30.00,7.47,18.36,25.00
45.00,7.99,14.02,25.31
60.00,8.53,12.40,23.68
75.00,7.81,10.96,23.36
90.00,7.70,17.62,25.53
105.00,8.12,17.55,24.73
120.00,8.25,14.69,25.53
135.00,7.63,7.68,24.73
150.00,8.91,17.78,26.93
165.00,8.79,15.27,25.39
180.00,7.60,14.05,26.23
195.00,8.77,14.58,24.10
210.00,8.00,16.80,22.11
225.00,6.53,13.35,22.56
240.00,7.67,14.56,24.09
255.00,8.93,15.98,25.60
270.00,8.40,11.58,27.08
285.00,7.95,17.01,22.86
300.00,7.01,17.45,25.75
315.00,7.42,12.39,27.25
330.00,7.24,19.93,23.20
345.00,8.41,14.01,26.21
360.00,7.65,14.51,25.08
375.00,7.36,17.22,23.97
390.00,7.85,12.02,19.88
405.00,7.88,22.24,26.57
420.00,7.99,14.21,25.04
435.00,8.35,11.46,27.23
450.00,8.46,17.15,25.88
465.00,8.01,17.02,26.18
480.00,7.77,13.28,25.20
495.00,8.99,11.28,22.06
510.00,8.11,15.15,25.35
525.00,8.16,14.33,27.98
540.00,6.98,12.51,24.79
555.00,6.95,14.47,28.32
570.00,8.01,15.69,22.48
585.00,7.61,13.87,24.36
600.00,8.82,16.67,22.78
615.00,8.16,16.49,27.28
630.00,9.01,11.95,23.38
645.00,7.20,14.30,25.93
660.00,8.63,14.77,24.36
675.00,8.10,12.49,29.18
690.00,6.97,15.55,29.05
705.00,8.00,14.43,24.29
720.00,7.88,19.12,20.58
735.00,8.98,10.73,24.47
750.00,7.73,16.77,21.80
765.00,8.30,21.07,22.27
780.00,8.12,13.01,25.85
795.00,8.01,13.08,25.98
810.00,9.15,14.43,26.44
825.00,7.17,12.13,25.94
840.00,8.95,16.07,24.37
855.00,8.00,11.25,26.21
870.00,8.56,13.64,24.06
885.00,8.17,13.69,24.87
900.00,9.34,14.26,24.28
915.00,7.59,17.23,24.64
930.00,7.58,18.96,27.84
945.00,7.62,9.40,27.02
960.00,7.56,17.37,21.06
975.00,8.57,11.37,26.46
990.00,8.01,12.14,24.19
1005.00,8.44,15.32,26.17
1020.00,9.26,10.31,28.23
1035.00,8.07,12.30,22.34
1050.00,7.88,17.76,24.74
1065.00,8.97,10.65,24.98
1080.00,7.20,16.09,26.77
1095.00,7.73,7.19,25.40
1110.00,8.28,16.21,27.47
1125.00,7.31,17.04,27.39
1140.00,6.86,15.96,23.99
1155.00,7.95,16.04,24.03
1170.00,7.57,15.10,22.83
1185.00,7.31,17.04,22.70
1200.00,8.43,16.39,21.55
1215.00,7.57,18.58,23.04
1230.00,7.70,16.39,26.57
1245.00,7.84,13.21,27.84
1260.00,9.11,17.94,25.17
1275.00,7.48,12.51,26.05
1290.00,8.27,19.20,26.30
1305.00,7.04,18.16,23.00
1320.00,7.75,15.75,28.99
1335.00,9.99,16.82,24.63
1350.00,8.34,17.66,24.36
1365.00,9.15,15.69,26.00
1380.00,8.43,16.26,26.68
1395.00,7.60,13.33,22.80
1410.00,8.28,17.34,25.92
1425.00,9.07,14.98,26.34
1440.00,7.30,13.84,26.39
1455.00,8.54,14.12,24.86
1470.00,7.03,13.93,26.78
1485.00,8.37,16.50,25.10
