timestamp,avg_response_time,cpu_usage,memory_usage
0.00,38.23,37.82,44.99
15.00,42.36,40.92,42.62
30.00,45.14,35.56,43.17
45.00,33.47,38.44,39.74
60.00,48.25,41.33,43.93
75.00,49.35,36.15,46.49
90.00,47.28,38.29,45.27
105.00,40.11,36.53,41.78
120.00,42.14,35.83,45.45
135.00,43.09,40.06,41.86
150.00,37.59,39.81,39.18
165.00,43.76,34.90,46.97
180.00,47.21,39.32,45.53
195.00,41.02,40.63,43.40
210.00,44.93,42.82,44.46
225.00,45.02,34.04,41.08
240.00,43.57,39.28,40.74
255.00,52.49,43.55,44.20
270.00,44.25,38.36,41.10
285.00,44.27,39.77,40.52
300.00,45.18,38.53,39.18
315.00,40.97,37.76,46.78
330.00,45.96,34.99,43.97
345.00,38.55,42.25,42.06
360.00,43.67,42.98,40.43
375.00,39.08,37.25,45.08
390.00,38.65,30.50,42.10
405.00,45.94,42.60,42.07
420.00,42.55,42.46,39.26
435.00,42.63,39.57,43.90
450.00,42.21,39.10,38.02
465.00,41.68,40.36,41.04
480.00,44.21,40.34,42.31
495.00,44.60,36.11,42.59
510.00,46.15,39.47,41.83
525.00,44.79,41.14,38.90
540.00,48.08,37.99,43.85
555.00,48.21,34.88,41.58
570.00,42.98,36.65,46.47
585.00,40.98,37.33,43.41
600.00,39.77,37.81,43.63
615.00,42.83,38.72,41.94
630.00,38.67,39.96,46.51
645.00,44.06,39.68,44.39
660.00,39.53,44.11,43.40
675.00,49.74,36.80,46.64
690.00,46.73,40.66,43.47
705.00,43.13,42.60,43.28
720.00,37.08,35.65,42.63
735.00,45.09,38.83,45.44
750.00,37.13,39.43,39.36
765.00,46.67,38.72,43.84
780.00,40.96,42.84,45.08
795.00,46.05,38.61,44.16
810.00,41.51,41.57,46.30
825.00,47.77,36.81,43.72
840.00,39.45,40.72,43.90
855.00,37.42,35.51,42.43
870.00,42.94,35.37,43.78
885.00,44.89,38.42,41.49
900.00,47.69,43.97,42.03
915.00,41.85,40.47,42.28
930.00,43.51,41.22,39.18
945.00,48.64,39.22,42.18
960.00,43.69,38.89,39.54
975.00,49.26,39.12,43.89
990.00,47.35,35.94,43.95
1005.00,43.06,41.54,38.75
1020.00,43.65,37.19,43.86
1035.00,45.65,36.88,41.58
1050.00,43.61,36.31,44.68
1065.00,42.70,30.28,42.25
1080.00,40.34,34.11,40.53
1095.00,44.39,42.99,43.63
1110.00,41.87,40.37,42.08
1125.00,41.56,35.54,39.50
1140.00,42.63,39.47,42.81
1155.00,42.54,36.16,44.22
1170.00,39.36,41.33,41.00
1185.00,41.35,34.60,42.00
1200.00,47.43,40.55,44.96
1215.00,45.84,35.69,42.34
1230.00,41.25,42.99,40.61
1245.00,47.15,41.68,46.66
1260.00,42.56,41.14,47.56
1275.00,41.83,34.39,39.24
1290.00,46.51,33.35,42.26
1305.00,45.54,39.56,43.85
1320.00,44.78,42.84,41.10
1335.00,41.62,36.68,44.66
1350.00,47.17,40.35,45.37
1365.00,39.85,44.00,46.05
1380.00,46.59,44.35,39.69
1395.00,42.15,36.79,44.44
1410.00,40.30,41.27,45.74
1425.00,46.45,39.85,41.02
1440.00,41.02,42.75,44.56
1455.00,43.86,37.75,38.95
1470.00,40.23,44.73,40.44
1485.00,44.67,42.02,40.49
