timestamp,avg_response_time,cpu_usage,memory_usage
0.00,98.56,71.01,68.24
15.00,104.06,72.14,67.62
30.00,80.82,63.11,67.78
45.00,91.30,69.46,67.49
60.00,91.56,74.38,67.17
75.00,86.50,73.97,66.57
90.00,95.88,69.57,65.70
105.00,92.62,71.04,67.96
120.00,90.02,65.49,66.13
135.00,97.84,70.11,66.51
150.00,99.26,68.86,63.91
165.00,90.82,69.55,65.07
180.00,90.71,72.47,66.98
195.00,94.26,75.00,66.31
210.00,94.05,69.47,65.31
225.00,87.70,69.56,67.72
240.00,109.29,68.85,66.17
255.00,91.54,72.19,67.53
270.00,101.45,63.72,62.23
285.00,88.35,74.29,63.87
300.00,69.86,72.71,67.49
315.00,83.98,68.04,65.06
330.00,92.81,69.12,67.99
345.00,70.99,68.43,64.75
360.00,90.11,69.39,68.60
375.00,78.32,71.14,68.12
390.00,105.66,69.55,67.65
405.00,78.72,63.82,68.69
420.00,91.96,74.54,64.25
435.00,95.83,75.00,67.84
450.00,94.04,71.03,63.86
465.00,101.98,69.17,68.01
480.00,80.50,67.46,69.87
495.00,89.44,75.00,66.84
510.00,78.44,73.68,65.82
525.00,97.14,71.08,63.91
540.00,93.21,75.00,67.99
555.00,91.58,74.23,67.42
570.00,93.54,67.73,67.47
585.00,99.62,68.49,69.85
600.00,91.33,68.34,69.00
615.00,89.89,73.28,66.42
630.00,91.56,72.48,67.58
645.00,77.31,67.64,68.86
660.00,91.03,69.43,64.28
675.00,84.05,64.93,66.80
690.00,87.60,68.10,66.86
705.00,94.68,75.00,63.98
720.00,100.53,73.92,65.44
735.00,93.50,69.63,67.37
750.00,103.11,72.82,68.02
765.00,88.83,66.55,66.58
780.00,100.88,66.42,64.89
795.00,92.93,68.05,65.41
810.00,88.88,66.90,65.05
825.00,97.18,67.08,63.80
840.00,87.36,73.20,66.61
855.00,88.58,71.13,63.51
870.00,95.64,72.15,66.18
885.00,99.40,67.62,69.26
900.00,93.14,69.99,66.96
915.00,91.21,74.66,64.85
930.00,86.39,74.11,65.81
945.00,98.63,75.00,66.20
960.00,97.01,67.54,68.51
975.00,93.47,72.42,65.71
990.00,79.77,72.51,62.87
1005.00,89.66,73.82,67.38
1020.00,106.34,74.08,65.69
1035.00,92.20,70.86,63.84
1050.00,85.08,69.32,62.93
1065.00,92.35,70.25,63.65
1080.00,94.98,73.15,67.45
1095.00,89.61,72.77,68.36
1110.00,94.26,68.53,67.55
1125.00,100.80,69.21,71.20
1140.00,88.13,71.10,65.66
1155.00,93.64,65.77,65.91
1170.00,83.96,71.41,68.99
1185.00,96.75,63.89,71.08
1200.00,94.17,68.67,67.31
1215.00,93.30,69.00,67.40
1230.00,87.53,69.79,65.63
1245.00,81.46,71.44,68.17
1260.00,95.79,73.46,67.65
1275.00,88.08,73.52,64.28
1290.00,85.37,68.11,69.16
1305.00,98.94,72.46,69.14
1320.00,85.53,72.05,66.75
1335.00,98.23,70.65,66.23
1350.00,95.98,73.63,65.66
1365.00,91.55,67.82,62.00
1380.00,93.48,72.83,67.52
1395.00,77.65,69.95,62.56
1410.00,102.08,67.74,69.51
1425.00,98.96,68.30,64.73
1440.00,94.58,68.47,67.20
1455.00,88.45,65.66,62.54
1470.00,93.67,69.32,65.89
1485.00,97.12,74.52,66.45
