timestamp,avg_response_time,cpu_usage,memory_usage
0.00,67.73,54.52,55.66
15.00,75.89,57.64,52.85
30.00,75.49,55.94,56.37
45.00,75.98,51.67,54.93
60.00,65.11,50.30,55.69
75.00,81.66,49.48,54.94
90.00,71.48,55.37,54.77
105.00,60.93,55.70,53.49
120.00,56.09,58.58,56.92
135.00,68.28,55.69,57.15
150.00,69.22,57.71,54.41
165.00,75.14,55.96,55.39
180.00,61.09,55.86,53.34
195.00,64.53,52.55,52.87
210.00,79.56,58.99,58.84
225.00,61.35,55.21,52.41
240.00,64.22,52.25,57.48
255.00,65.84,58.21,56.21
270.00,80.53,50.56,57.52
285.00,74.24,52.08,57.01
300.00,69.83,54.32,53.35
315.00,64.09,61.15,55.00
330.00,72.25,52.63,53.44
345.00,73.89,50.95,54.17
360.00,68.19,55.33,54.64
375.00,70.15,57.08,56.47
390.00,62.64,54.15,57.39
405.00,72.87,50.88,55.70
420.00,57.24,55.14,58.80
435.00,62.84,52.50,56.53
450.00,59.61,53.10,56.19
465.00,64.55,54.29,56.49
480.00,70.29,55.80,54.32
495.00,70.01,54.63,55.92
510.00,65.30,54.45,53.02
525.00,67.81,52.57,52.77
540.00,69.41,55.64,56.57
555.00,65.65,56.22,56.10
570.00,70.42,52.52,55.30
585.00,69.98,55.02,50.83
600.00,68.87,61.64,54.28
615.00,64.04,56.12,55.62
630.00,74.49,51.23,56.46
645.00,71.21,54.57,55.68
660.00,73.60,57.62,52.71
675.00,72.46,54.81,55.15
690.00,68.40,54.55,57.38
705.00,67.54,51.64,54.21
720.00,68.97,58.69,56.21
735.00,63.37,62.46,55.53
750.00,74.94,54.54,56.07
765.00,72.57,58.65,57.11
780.00,72.74,54.05,53.86
795.00,69.81,57.80,54.55
810.00,73.79,59.36,53.17
825.00,63.45,54.58,55.62
840.00,65.15,59.06,55.85
855.00,68.21,50.69,52.37
870.00,69.53,48.60,57.03
885.00,67.14,64.73,59.62
900.00,67.01,54.68,56.99
915.00,77.27,50.09,51.43
930.00,64.62,56.75,55.99
945.00,73.82,51.40,50.37
960.00,72.67,52.52,50.96
975.00,68.79,57.38,54.76
990.00,65.51,54.52,54.26
1005.00,60.67,52.86,56.04
1020.00,69.75,55.50,53.01
1035.00,67.01,48.47,55.36
1050.00,75.77,50.58,53.83
1065.00,69.79,58.76,54.10
1080.00,64.23,49.09,55.21
1095.00,79.11,55.83,54.96
1110.00,69.75,54.97,53.37
1125.00,72.48,55.68,55.04
1140.00,62.69,58.91,56.33
1155.00,64.99,58.01,54.00
1170.00,63.75,52.72,51.46
1185.00,70.57,49.51,52.54
1200.00,56.71,54.74,54.70
1215.00,66.22,51.87,52.66
1230.00,70.53,53.35,55.63
1245.00,63.18,55.54,57.61
1260.00,71.19,53.76,55.51
1275.00,66.69,55.02,54.35
1290.00,67.11,55.64,53.01
1305.00,62.47,50.83,51.80
1320.00,61.38,55.48,53.21
1335.00,70.79,55.10,51.06
1350.00,71.56,57.43,53.01
1365.00,70.29,52.43,55.20
1380.00,61.12,49.62,54.23
1395.00,67.33,53.81,52.63
1410.00,65.82,55.81,54.91
1425.00,68.99,52.99,57.34
1440.00,61.60,56.46,57.36
1455.00,70.62,54.39,53.94
1470.00,73.64,50.73,53.06
1485.00,65.84,58.71,55.76
