offset_seconds,samples,tps,error_rate,avg_ms,p95_ms
0.0,3.0,0.3,1.0,15196.666666666666,18632.6
10.0,3.0,0.3,1.0,25037.333333333332,28311.5
20.0,4.0,0.4,1.0,54381.5,74365.59999999999
30.0,3.0,0.3,1.0,97257.33333333333,147046.3
40.0,6.0,0.6,1.0,161715.66666666666,328279.75
50.0,2.0,0.2,1.0,181423.5,256153.65
60.0,5.0,0.5,1.0,125482.8,166729.8
70.0,5.0,0.5,1.0,129043.6,240178.19999999998
80.0,3.0,0.3,1.0,128427.33333333333,182268.2
90.0,2.0,0.2,1.0,101719.5,130248.15
100.0,5.0,0.5,1.0,138228.0,188744.0
110.0,3.0,0.3,1.0,115843.33333333333,172416.0
140.0,3.0,0.3,1.0,204995.66666666666,357898.69999999995
150.0,2.0,0.2,1.0,131052.5,139026.05
160.0,1.0,0.1,1.0,79828.0,79828.0
170.0,2.0,0.2,1.0,321862.5,422608.05
180.0,4.0,0.4,1.0,102057.0,154040.19999999998
190.0,2.0,0.2,1.0,48173.0,74525.0
200.0,2.0,0.2,1.0,103959.0,136670.4
210.0,1.0,0.1,1.0,29581.0,29581.0
220.0,2.0,0.2,1.0,127523.5,182348.34999999998
230.0,4.0,0.4,1.0,118839.5,201209.64999999997
240.0,1.0,0.1,1.0,168208.0,168208.0
250.0,2.0,0.2,1.0,238211.0,293887.7
260.0,1.0,0.1,1.0,141262.0,141262.0
270.0,6.0,0.6,1.0,230756.66666666666,426808.0
290.0,4.0,0.4,1.0,87064.75,119215.65
300.0,3.0,0.3,1.0,191510.0,242489.4
320.0,1.0,0.1,1.0,69869.0,69869.0
330.0,2.0,0.2,1.0,207656.0,271456.1
340.0,1.0,0.1,1.0,112804.0,112804.0
350.0,4.0,0.4,1.0,110113.75,184405.09999999998
370.0,1.0,0.1,1.0,53256.0,53256.0
380.0,2.0,0.2,1.0,79364.0,94727.9
390.0,3.0,0.3,1.0,97641.66666666667,115823.0
410.0,3.0,0.3,1.0,212315.66666666666,342821.3
420.0,2.0,0.2,1.0,116692.5,140380.95
430.0,2.0,0.2,1.0,106531.5,135155.55
440.0,2.0,0.2,1.0,88211.5,134984.05
450.0,2.0,0.2,1.0,139949.5,183884.34999999998
460.0,4.0,0.4,1.0,99181.75,137520.39999999997
470.0,3.0,0.3,1.0,159766.66666666666,220116.8
480.0,2.0,0.2,1.0,143024.5,171055.45
490.0,2.0,0.2,1.0,78467.0,109157.9
500.0,1.0,0.1,1.0,143678.0,143678.0
510.0,4.0,0.4,1.0,228860.25,377205.45
530.0,1.0,0.1,1.0,82342.0,82342.0
540.0,2.0,0.2,1.0,222209.5,272988.85
550.0,5.0,0.5,1.0,138099.2,225630.59999999998
560.0,2.0,0.2,1.0,142339.5,172919.25
570.0,3.0,0.3,1.0,105775.66666666667,182158.9
580.0,1.0,0.1,1.0,262628.0,262628.0
590.0,1.0,0.1,1.0,104662.0,104662.0
600.0,2.0,0.2,1.0,107589.5,119131.55
