offset_seconds,samples,tps,error_rate,avg_ms,p95_ms
0.0,2.0,0.2,1.0,2470.0,2719.3
10.0,1.0,0.1,1.0,2022.0,2022.0
20.0,3.0,0.3,1.0,3549.6666666666665,3613.6
40.0,3.0,0.3,1.0,8570.666666666666,18464.1
50.0,1.0,0.1,1.0,6285.0,6285.0
60.0,1.0,0.1,1.0,28645.0,28645.0
70.0,1.0,0.1,1.0,3175.0,3175.0
80.0,1.0,0.1,1.0,5544.0,5544.0
90.0,1.0,0.1,1.0,2276.0,2276.0
110.0,1.0,0.1,1.0,13903.0,13903.0
120.0,1.0,0.1,0.0,3040.0,3040.0
130.0,3.0,0.3,1.0,3015.0,5989.0
140.0,1.0,0.1,1.0,7569.0,7569.0
150.0,4.0,0.4,1.0,9089.75,16867.75
170.0,5.0,0.5,1.0,14212.6,40381.399999999994
180.0,2.0,0.2,1.0,4407.5,6349.25
190.0,2.0,0.2,1.0,21620.0,23663.9
200.0,2.0,0.2,1.0,1584.5,1600.25
210.0,3.0,0.3,1.0,48973.666666666664,111970.79999999999
220.0,2.0,0.2,1.0,19108.5,35387.25
230.0,2.0,0.2,1.0,2722.5,3574.35
240.0,1.0,0.1,1.0,15368.0,15368.0
250.0,3.0,0.3,1.0,4901.666666666667,8815.2
260.0,2.0,0.2,1.0,1548.5,2446.25
270.0,1.0,0.1,1.0,15236.0,15236.0
280.0,5.0,0.5,1.0,3513.8,5398.2
290.0,2.0,0.2,1.0,39054.5,71810.45
300.0,2.0,0.2,1.0,11895.0,19631.4
310.0,1.0,0.1,1.0,1229.0,1229.0
320.0,2.0,0.2,1.0,19773.0,35253.0
330.0,2.0,0.2,1.0,5599.0,6130.0
340.0,1.0,0.1,1.0,3547.0,3547.0
360.0,2.0,0.2,1.0,22526.0,38502.799999999996
370.0,4.0,0.4,1.0,12477.5,26253.049999999996
390.0,2.0,0.2,1.0,5069.0,5366.0
400.0,2.0,0.2,1.0,11569.0,21001.0
410.0,1.0,0.1,1.0,2951.0,2951.0
420.0,4.0,0.4,1.0,18805.5,34695.84999999999
430.0,3.0,0.3,1.0,6532.0,12985.699999999999
440.0,2.0,0.2,1.0,7099.5,10237.349999999999
450.0,1.0,0.1,1.0,1333.0,1333.0
460.0,5.0,0.5,1.0,22432.8,67397.59999999999
470.0,2.0,0.2,1.0,16840.0,29494.899999999998
480.0,1.0,0.1,1.0,9166.0,9166.0
490.0,2.0,0.2,1.0,3381.0,3641.1
500.0,2.0,0.2,1.0,17184.5,30522.05
510.0,2.0,0.2,1.0,15892.0,24109.899999999998
520.0,2.0,0.2,1.0,11914.5,17349.15
530.0,4.0,0.4,0.75,23763.75,63928.64999999998
540.0,3.0,0.3,1.0,12603.333333333334,22618.3
550.0,1.0,0.1,1.0,3964.0,3964.0
560.0,3.0,0.3,1.0,21283.666666666668,32660.5
570.0,1.0,0.1,1.0,12820.0,12820.0
580.0,1.0,0.1,1.0,10266.0,10266.0
600.0,3.0,0.3,1.0,5866.666666666667,10721.099999999999
610.0,2.0,0.2,1.0,41871.5,73162.25
630.0,4.0,0.4,1.0,7217.25,12568.949999999999
640.0,4.0,0.4,1.0,6492.25,11308.399999999998
650.0,1.0,0.1,1.0,14787.0,14787.0
670.0,1.0,0.1,1.0,4393.0,4393.0
680.0,1.0,0.1,1.0,9257.0,9257.0
690.0,1.0,0.1,1.0,3173.0,3173.0
700.0,2.0,0.2,1.0,2380.5,3884.85
710.0,3.0,0.3,1.0,8450.0,14562.699999999999
720.0,1.0,0.1,1.0,3320.0,3320.0
740.0,3.0,0.3,1.0,13523.333333333334,19528.7
750.0,2.0,0.2,1.0,6069.0,6436.2
760.0,2.0,0.2,1.0,7996.5,12604.949999999999
780.0,4.0,0.4,1.0,6014.0,8785.25
790.0,3.0,0.3,1.0,3257.0,3335.4
800.0,1.0,0.1,1.0,9160.0,9160.0
810.0,2.0,0.2,1.0,3764.0,5166.2
820.0,7.0,0.7,1.0,12660.714285714286,34278.29999999999
830.0,1.0,0.1,1.0,5008.0,5008.0
840.0,2.0,0.2,1.0,11545.5,18370.65
850.0,2.0,0.2,1.0,7117.5,9923.25
860.0,2.0,0.2,1.0,13860.0,20613.6
870.0,2.0,0.2,1.0,7906.5,14436.449999999999
880.0,1.0,0.1,1.0,3637.0,3637.0
890.0,3.0,0.3,1.0,9767.0,14856.599999999999
900.0,2.0,0.2,1.0,6926.0,7440.8
910.0,2.0,0.2,1.0,28678.0,40315.0
920.0,1.0,0.1,1.0,3755.0,3755.0
930.0,2.0,0.2,1.0,8900.5,13909.449999999999
950.0,5.0,0.5,1.0,13399.2,24964.799999999996
960.0,3.0,0.3,1.0,12827.0,14434.4
970.0,3.0,0.3,1.0,7917.666666666667,12266.2
980.0,2.0,0.2,1.0,3233.5,3272.65
990.0,1.0,0.1,1.0,19607.0,19607.0
1000.0,2.0,0.2,1.0,7565.5,7585.75
1010.0,4.0,0.4,1.0,11848.75,18931.449999999997
1020.0,3.0,0.3,1.0,32665.666666666668,82753.7
1030.0,2.0,0.2,0.5,6224.5,8083.45
1040.0,3.0,0.3,1.0,2885.3333333333335,3990.8
1050.0,2.0,0.2,1.0,17672.0,26106.8
1060.0,2.0,0.2,1.0,26823.0,46547.4
1070.0,3.0,0.3,1.0,7453.0,14999.8
1090.0,3.0,0.3,0.6666666666666666,48032.0,122673.09999999999
