offset_seconds,samples,tps,error_rate,avg_ms,p95_ms
0.0,1.0,0.1,1.0,23052.0,23052.0
10.0,1.0,0.1,1.0,29000.0,29000.0
20.0,2.0,0.2,1.0,19364.0,20801.3
30.0,1.0,0.1,1.0,10840.0,10840.0
40.0,4.0,0.4,1.0,3979.5,4153.05
50.0,5.0,0.5,1.0,21656.0,31402.0
60.0,2.0,0.2,1.0,27133.5,28188.75
70.0,2.0,0.2,1.0,22212.0,22320.9
80.0,2.0,0.2,1.0,10843.5,11014.05
90.0,8.0,0.8,1.0,3835.75,4142.9
100.0,13.0,1.3,1.0,3957.6923076923076,4110.4
110.0,11.0,1.1,1.0,3974.090909090909,4116.0
120.0,10.0,1.0,1.0,4547.4,4894.099999999999
130.0,11.0,1.1,1.0,4283.545454545455,4706.0
140.0,11.0,1.1,1.0,4556.181818181818,4979.0
150.0,13.0,1.3,1.0,4011.076923076923,4365.0
160.0,12.0,1.2,1.0,3759.3333333333335,3954.45
170.0,11.0,1.1,1.0,3910.6363636363635,4165.0
180.0,13.0,1.3,1.0,3633.3846153846152,3972.2
190.0,6.0,0.6,1.0,3473.3333333333335,3600.5
